"Carousel","Carousel"
"Slide parameters","Param&egrave;tres de d&eacute;filement"
"in seconds","en secondes"
"Duration of a full jump","Dur&eacute;e d'une transition compl&egrave;te"
"Automatic move","D&eacute;filement automatique"
"When true the Carousel will move on it's own without needing triggers. Useful for slideshows ","Quand la valeur est &agrave; vrai le carousel d&eacute;filera automatiquement."
"Scroll frequency","Fr&eacute;quence du d&eacute;filement"
"When automatic move is true, this dictates how long a slides stays put before the next jump (in seconds)","Quand le d&eacute;filement automatique est activ&eacute;, indique le temps avant passage &agrave; la prochaine diapositive (en secondes)"
"Circular scroll","D&eacute;filement circulaire"
"Use mouse wheel","Utilisation de la molette de la souris"
"Whether or not to slide when using the mouse wheel over the slides","Faire d&eacute;filer les diapositives avec la molette de la souris"
"Slide effect","Effet de diapositive"
"Slide transition","Transition de diapositive"
